current_position,current_company,years_of_experience,total_skills,education_degree,education_institution,certifications,city,state,country,profile_type
Frontend Web Developer,Victoria's Secret,7.1,"HTML, TypeScript, Java, JavaScript, Android Development, Web Development, C++, SQL, Linux, j2ee, C, R, C#, Spring Framework, Spring Boot, RESTful WebServices, MongoDB, MySQL, React.js, Node.js, HTML5, Management, Team Management, Leadership, Express.js, CSS3, react hooks , PHP, Redux",Information Technology,Centre for Development of Advanced Computing (C-DAC),"CDAC , Amcat aspiring minds, Summer training on Android , j2ee, java , PHP",Bengaluru,Karnataka,India,frontendFinal
Software Development Engineer,MoveInSync,2.8,"Java, AngularJS, Angular Material, Material Ui, Cascading Style Sheets (CSS), HTML, MERN Stack, Kotlin, Android Development, Angular Command Line Interface (CLI), Node.js, MongoDB, React.js, Python (Programming Language), C++, Web Development, C (Programming Language), SQL, JavaScript",Bachelor of Technology - BTech,Lovely Professional University,,,Jharkhand,India,frontendFinal
Senior Consultant,Capgemini,9.8,"HTML5, Architectural Patterns, Cascading Style Sheets (CSS), HTML, Git, JavaScript, TypeScript, Node.js, Front-End Development, Ionic Framework, Django REST Framework, Ionic, Node, MongoDB, Angular",Bachelor of Engineering - BE,"Army Institute of Technology (AIT), Pune",,Bengaluru,Karnataka,India,frontendFinal
Software Engineer,ACL Digital,6.8,"Amazon Web Services (AWS), Object-Oriented Programming (OOP), jQuery, JSON, Bootstrap (Framework), Responsive Web Design, HTML/CSS Validation, Node.js, Hooks, Jest, React Hooks, REST APIs, TypeScript, AJAX, Document Object Model (DOM), D3.js, Mockups, Server Side, Cross-browser Compatibility, Teamwork, Attention to Detail, Code Review, Debugging Code, Programming, GitHub, Business Requirements, Methodology, Agile Development, Front-End Design, Web Content, Skill Development, Web Development, Functionality, Written Communication, User Requirements, Markup Languages, Unit Testing, Version Control, Git, User Interface Design, Front-end Coding, Front-End Development, Redux.js,  react, HTML, JavaScript html, English, Communication, Problem Solving, Presentations, HTML5, Cascading Style Sheets (CSS), JavaScript, React.js",Bachelor of Engineering - BE,Sri Siddhartha Institute of Technology,,Bengaluru,Karnataka,India,frontendFinal
Software Developer,Tasla Soft Private Limited,4.9,"JavaScript Libraries, Cascading Style Sheets (CSS), HTML5, JavaScript, React.js, System Testing, Functional Testing, Software Testing, Testing, C (Programming Language), Project Management, C++",Bachelor of Engineering - BE,"Proudadevaraya Institute of Technology, HOSPET",,Bengaluru,Karnataka,India,frontendFinal
Frontend Developer,Ralecon,1.2,"Webflow, Shopify, HTML5, Bootstrap (Framework), PHP, MySQL, WordPress, JavaScript, SQL Server Management Studio, Visual studio code, Visual Studio, Node.js, Cascading Style Sheets (CSS), Angular, HTML, SQL, ASP.NET",Bachelor of Engineering - BE,"Srinivas Institute of Technology, Mangalore",,Bengaluru,Karnataka,India,frontendFinal
Frontend Developer,TAFF Inc,0.6,"React.js, Angular, JavaScript, TypeScript, HTML, Cascading Style Sheets (CSS), Bootstrap (Framework), Refine.dev, Next.js, Tailwind CSS, Jest, GitHub, framer motion, React spring",,,,Bengaluru,Karnataka,India,frontendFinal
Frontend Developer,Wow Labz,5.8,"HTML/CSS Validation, Automation, Canva, Customer Relationship Management (CRM), HubSpot, Figma (Software), Document Object Model (DOM), Google Analytics, Web Architecture, React.js, Model-View-Controller (MVC), Debugging Code, Website Building, Landing Pages, Cross-browser Compatibility, HTML Emails, Wordpress Development, Bootstrap (Framework), Elementor, Web Pages, Theme Development, Web Standards, Resolving Issues, Usability, User Experience (UX), Creative Problem Solving, Software Development, Business Requirements, Front-End Development, Responsive Web Design, HTML5, Computer Science, Cascading Style Sheets (CSS), Web Applications, Requirements Gathering, User Stories, Professional Skills, Problem Solving, Logical Reasoning, Code Design, Attention to Detail, Content Management Systems (CMS), WordPress, C#, HTML, MySQL, Dynamic Websites, Web Development, Object-Oriented Programming (OOP), Back-End Web Development, JavaScript, jQuery, AJAX, INSYNC COMMERCE, APPSeCONNECT, Nitropack, Optimization",Bachelor of Technology,Supreme Knowledge Foundation Group of Institutions 253,APPSeCONNECT Essentials (Functional),,West Bengal,India,frontendFinal
Senior Software Developer,IndiqAI,4.2,"UiPath, Orchestration, Adobe Experience Manager (AEM), Gitlab, D3.js, User Interface Design, Object-Oriented Programming (OOP), Databases, Computer Science, Programming, Programming Languages, Design, React Native, SASS, Representational State Transfer (REST), Git, Web Development, Web Applications, Data Visualization, Ad Tech, Figma (Software), Front-End Development, TypeScript, Product Requirements, Nuxt.js, Reliability Analysis, Test Cases, Jest, Vuex, Continuous Delivery (CD), Tech-Savvy, Scalable Web Applications, High Performance Computing (HPC), styled-components, SQL Database Administration, Apollo, Algorithm Design, Node.js in Azure, Ant Design, Responsiveness, Computer Accessibility, Programming Concepts, Webpack, Cross-browser Compatibility, Single Page Applications, Version Control, Attention to Detail, Adaptive Design, Skill Development, Flux, Code Review, Software Development Methodologies, Written Communication, Mockups, Adaptation, jQuery UI, User Interaction, Front-End Design, Business Requirements, Babel.js, Designation, NoSQL, ChatGPT, Mocha (JavaScript Framework), Syntax, Optimization Techniques, JavaScript eXtension (JSX), ESLint, Google Material Design, Redux Thunk, Server Side, Material-UI, JavaScript Object Model (JSOM), Document Object Model (DOM), Design Documents, Analytical Skills, English, Communication, User Experience (UX), Responsive Web Design, JSON, Functional Requirements, Progressive Web Applications (PWAs), Web Application Development, ECMAScript, Tailwind CSS, Redux.js, GitHub, HTML, React.js, Cascading Style Sheets (CSS), HTML5, JavaScript, Python (Programming Language), SQL, MySQL, Microsoft Excel, Microsoft Power BI, Amazon Web Services (AWS), Data Analysis",Bachelor of Technology - BTech,Dr. B.C. Roy Engineering College,,Bengaluru,Karnataka,India,frontendFinal
Frontend Developer,Neyyar Technologies,4.1,"Cloudflare, Microsoft Outlook, styled-components, Unit Testing, Postman, Insomnia, Database Management System (DBMS), RDBMS, GitHub, Jenkins, Redux, Next.js, TypeScript, Troubleshooting, Web Standards, Version Control, Debugging, Babel.js, Redux.js, HTML5, PostgreSQL, Firebase, Responsive Web Design, JSON, Computer Science, Representational State Transfer (REST), Web Design, User Interface Design, Back-End Web Development, Software Development, Web Applications, Application Programming Interfaces (API), Express.js, MongoDB, Progressive Web Applications (PWAs), Material-UI, Ant Design, Object-Oriented Programming (OOP), JavaScript Frameworks, REST APIs, Web Development, Application Development, Git, Cascading Style Sheets (CSS), HTML, WordPress, Tailwind CSS, Python (Programming Language), Front-End Development, Visual Basic, SQL, Bootstrap, Internet of Things (IoT), Data Science, Java, C++, JavaScript, Node.js, React.js",Master of Computer Applications - MCA,T. John College,,Bengaluru,Karnataka,India,frontendFinal
,,,"Troubleshooting, AWS Basics, Core Java, Problem Solving, Cascading Style Sheets (CSS), HTML, Maven, Linux, Git and Github",Bachelor of Technology - BTech,Narayana Engineering College - India,,Bengaluru,Karnataka,India,frontendFinal
Java Full-Stack Intership ,Five Seven IT Solutions Pvt Ltd,0.5,"Bootstrap (Framework), Cascading Style Sheets (CSS), Python (Programming Language), OpenCV, Tailwind CSS, MySQL, Node.js, Spring Boot, HTML, Java, React.js, JavaScript",Bachelor of Engineering - BE,"Guru Nanak Dev Engineering College, BIDAR",,Bengaluru,Karnataka,India,frontendFinal
Senior engineering lead,Persistent Systems,6.8,"Typescript , Web Applications, TypeScript, Web Development, Git, Java, HTML, Software Development, React Hooks, Jest, Webpack, Babel, REST APIs, Server Side JavaScript, Engineering, Front-End Development, React.js, JavaScript, Redux.js, HTML5, Cascading Style Sheets (CSS)",Bachelor of Engineering - BE,RGPV University,,Bengaluru,Karnataka,India,frontendFinal
Software Engineer Intern,Kapture CX,0.8,"Apache Kafka, REST APIs, Spring Boot, DSA, Debugging, Programming Languages, Computer Science, Object-Oriented Programming (OOP), Software Development, Programming, Computer Networking, React.js, C (Programming Language), Python (Programming Language), Cloud Computing, JavaScript, Cascading Style Sheets (CSS), HTML, Algorithms, Data Structures, Java, Communication, Problem Solving",Bachelor of Technology - BTech,ABES Engineering College,"Enterprise Networking, Security, and Automation, Introduction To Networks, Switching, Routing, and Wireless Essentials, Python Essentials 1 , Python Essentials 2 , AWS Academy Cloud Foundations, Problem Solving Certificate, Essentials Of Cloud Computing",Bengaluru,Karnataka,India,frontendFinal
Senior Software Engineer,Vedantu,6.0,"HTML, HTML5, CSS3, JavaScript, React.js, Next.js, Redux.js, Front-End Development, Node.js, Express.js, OOJS, Programming, MicroFrontEnd, SASS, CSS Grid Layout, Responsive Web Design, Object-Oriented Programming (OOP), ECMAScript, Data Structures, MongoDB, Docker, Jira, MERN Stack, Kubernetes, Databases, Amazon Web Services (AWS), Web Development, MERN, Progressive Web Applications (PWAs), Search Engine Optimization (SEO), Microservices, Communication, Team Mentoring, Leadership, Teamwork, Mentoring",Bachelor of Engineering - BE,Global Academy Of Technology,,Bengaluru,Karnataka,India,frontendFinal
SAP Consultant | Software Engineer,Evora IT Solutions,5.2,"JavaScript, HTML, CSS, Tailwind CSS, Bootstrap, JSON, SQL, REST APIs, OData, SAPUI5, SAP Field Service Management (FSM), SAP Mobile Development Kit (MDK), SAP Cloud Application Programming (CAP), Microsoft Office, PHP, Java, C++/C, Kibana, Machine Learning, MATLAB, Arduino, Agile Methodologies, Project Management, Problem Solving, Teamwork, Leadership, Public Speaking, Event Management",Bachelor of Technology - BTech,Thapar Institute of Engineering & Technology,"SAP Certified Application Associate - SAP Field Service Management, Agile Fundamentals, Learn SQL using MySQL and Database Design, Programming in HTML5 with JavaScript and CSS3, JPMorgan Chase & Co. Software Engineering Virtual Experience",Bengaluru,Karnataka,India,frontendFinal
Lead Engineer,Brillio,13.3,"ReactJS, Redux, JavaScript, Apollo GraphQL, Agile Methodologies, SASS, Jenkins, Linux, CSS3, HTML, Front-end Development, Web Development, HTML5, Bootstrap, jQuery, Git, JSON, AJAX, WordPress, Ubuntu",Master of Computer Applications - MCA,Jain (Deemed-to-be University),"Web Programmer, AMCAT Certified Software Development Trainee, AMCAT Certified Software Engineer - Product",Bengaluru,Karnataka,India,frontendFinal
Senior Software Engineer,Oolka,6.9,"Next.js, Python (Programming Language), Java, HTML, Cascading Style Sheets (CSS), GraphQL, Jest, Redux.js, TypeScript, C++, Data Structures, Algorithms, JavaScript, React.js, React Native",Bachelor of Technology - BTech,"Indian Institute of Technology (Banaras Hindu University), Varanasi",,Bengaluru,Karnataka,India,frontendFinal
Senior Frontend Developer,Deel,7.8,"Problem Solving, Web Technologies, User Experience (UX), REST APIs, Node.js, Webpack, Cross-browser Compatibility, Unit Testing, Front-End Development, Jest, Debugging, C++, C, Java, Data Structures, Algorithms, Project Management, Project Planning, JavaScript, React.js, AngularJS, MongoDB, PowerPoint, Microsoft Office, Windows, SQL, PL/SQL, HTML, Adobe Illustrator, Linux, Ubuntu, jQuery, Cascading Style Sheets (CSS), Python, Bootstrap, Spring Framework, Spring Boot, RESTful WebServices, Redux.js, Algorithm Design, Document Object Model (DOM), saga",Bachelor of Engineering (B.E.),Chitkara University,,Bengaluru,Karnataka,India,frontendFinal
Associate Software Engineer,Finastra,3.3,"Data Structures And Algorithms , Python (Programming Language), JavaScript, Cascading Style Sheets (CSS), HTML, MySQL, Core Java, C (Programming Language)",Bachelor of Engineering - BE Computer Science,Visvesvaraya Technological University,,Bengaluru,Karnataka,India,frontendFinal
Software Engineer Trainee ,Soft Suave Technologies ,3.5,"Flexbox, Full-Stack Development, Bootstrap (Framework), SQL, Database Management System (DBMS), Java, C (Programming Language), Python (Programming Language), JavaScript, Cascading Style Sheets (CSS), HTML5",Bachelor of Technology - BTech,Sree Chaitanya institute of technological sciences,"Build Your Own Dynamic Web Application, Build Your Own Responsive Website, Build Your Own Static Website, Introduction to Databases, Programming Foundations (Python)",Peddapalli,Telangana,India,frontendFinal
Software Engineer,Volvo Group,5.4,"Render, GitHub, Git, Thymeleaf, Search Engine Optimization (SEO), 3DEXPERIENCE, JavaServer Pages (JSP), Maven, Plugins, XML, JSON, Data Structures, Communication, Object-Oriented Programming (OOP), Programming Concepts, Object Modelling, Web Applications, Cross-browser Compatibility, REST APIs, Hibernate, Representational State Transfer (REST), RESTful WebServices, Web Services, Back-End Web Development, Microservices, Software Development, Microsoft Office, Customer Satisfaction, Service Deployment, Debugging Code, Spring Framework, ISO 26262, Ansys medini analyze , Java, Spring Boot, SQL, HTML, C++, C (Programming Language), Python (Programming Language), Cascading Style Sheets (CSS), MySQL, HTML5, JavaScript, AngularJS, Spring MVC, Jpa",BE - Bachelor of Engineering,New Horizon College of Engineering,"Microsoft Certified Azure Fundamentals , AWS Fundamentals: Going Cloud-Native, Google Cloud Product Fundamentals, Managing Big Data in Clusters and Cloud Storage, Analyzing Big Data with SQL, Build a Google Firebase Web Application, Foundations for Big Data Analysis with SQL, Interactivity with JavaScript, Joy of computing using Python",Bengaluru,Karnataka,India,frontendFinal
Senior Software Engineer,Virtusa,4.9,"HTML5, Btech, Cascading Style Sheets (CSS), HTML, Angular, Training, Presentations, Leadership, Manual Testing, Test Automation, Core Java, SQL, Selenium WebDriver",Bachelor of Technology - BTech,"JNTUA College of Engineering, Kalikiri","Oracle Certified Associate, Java SE 8 Programmer",Bengaluru,Karnataka,India,frontendFinal
